investigation,person_name,profile_file,website_url,category
Energy,John Kanzius,Energy/Details/John_Kanzius.md,/energy/Details/John_Kanzius,Energy Inventor
Energy,John Mullen,Energy/Details/John_Mullen.md,/energy/Details/John_Mullen,Physicist / Scientist
Energy,John Rossi,Energy/Details/John_Rossi.md,/energy/Details/John_Rossi,Defense Scientist / Government Contractor
Energy,John Whiteman,Energy/Details/John_Whiteman.md,/energy/Details/John_Whiteman,Defense Scientist
Energy,Jonathan Moyle,Energy/Details/Jonathan_Moyle.md,/energy/Details/Jonathan_Moyle,Journalist / Investigator
Energy,Jonathan Walsh,Energy/Details/Jonathan_Walsh.md,/energy/Details/Jonathan_Walsh,Defense Scientist
Energy,Joseph Papp,Energy/Details/Joseph_Papp.md,/energy/Details/Joseph_Papp,Energy Inventor
Energy,Joseph Westley Newman,Energy/Details/Joseph_Westley_Newman.md,/energy/Details/Joseph_Westley_Newman,Energy Inventor / Patent Holder
Energy,Justin Christofleau,Energy/Details/Justin_Christofleau.md,/energy/Details/Justin_Christofleau,Energy Inventor
Energy,Karen Silkwood,Energy/Details/Karen_Silkwood.md,/energy/Details/Karen_Silkwood,Energy Whistleblower
Energy,Keith Bowden,Energy/Details/Keith_Bowden.md,/energy/Details/Keith_Bowden,Defense Scientist
Energy,Ken Rasmussen,Energy/Details/Ken_Rasmussen.md,/energy/Details/Ken_Rasmussen,Inventor / Suppressed
Energy,Ken Shoulders,Energy/Details/Ken_Shoulders.md,/energy/Details/Ken_Shoulders,Physicist / Energy Researcher
Energy,Lester Hendershot,Energy/Details/Lester_Hendershot.md,/energy/Details/Lester_Hendershot,Energy Inventor
Energy,Lou Britz,Energy/Details/Lou_Britz.md,/energy/Details/Lou_Britz,Energy Inventor
Energy,Mark Tomion,Energy/Details/Mark_Tomion.md,/energy/Details/Mark_Tomion,Energy Inventor / Physicist / Scientist
Energy,Mark Wisner,Energy/Details/Mark_Wisner.md,/energy/Details/Mark_Wisner,Defense Scientist
Energy,Melissa Casias,Energy/Details/Melissa_Casias.md,/energy/Details/Melissa_Casias,Defense / Nuclear Weapons Complex / Missing Person
Energy,Michael Baker,Energy/Details/Michael_Baker.md,/energy/Details/Michael_Baker,Defense Scientist
Energy,Michael Zebuhr,Energy/Details/Michael_Zebuhr.md,/energy/Details/Michael_Zebuhr,Energy Researcher
Energy,Monica Jacinto Reza,Energy/Details/Monica_Jacinto_Reza.md,/energy/Details/Monica_Jacinto_Reza,Energy Inventor / Aerospace Engineer / Missing Person
Energy,Morris Jessup,Energy/Details/Morris_Jessup.md,/energy/Details/Morris_Jessup,Energy Researcher / Physicist
Energy,Nathan Stubblefield,Energy/Details/Nathan_Stubblefield.md,/energy/Details/Nathan_Stubblefield,Energy Inventor
Energy,Nikola Tesla,Energy/Details/Nikola_Tesla.md,/energy/Details/Nikola_Tesla,Energy Inventor / Physicist / Scientist
Energy,Otis T Carr,Energy/Details/Otis_T_Carr.md,/energy/Details/Otis_T_Carr,Energy Inventor
Energy,Paul Bennewitz,Energy/Details/Paul_Bennewitz.md,/energy/Details/Paul_Bennewitz,Energy Inventor / Disinformation Target
Energy,Paul Brown,Energy/Details/Paul_Brown.md,/energy/Details/Paul_Brown,Energy Inventor / Physicist / Scientist
Energy,Paul Pantone,Energy/Details/Paul_Pantone.md,/energy/Details/Paul_Pantone,Energy Inventor
Energy,Paul Vigay,Energy/Details/Paul_Vigay.md,/energy/Details/Paul_Vigay,Energy Researcher / Physicist / Scientist
Energy,Paulo Correa,Energy/Details/Paulo_Correa.md,/energy/Details/Paulo_Correa,Inventors / Researchers
Energy,Peter Ferry,Energy/Details/Peter_Ferry.md,/energy/Details/Peter_Ferry,Defense Industry Executive
Energy,Peter Peapell,Energy/Details/Peter_Peapell.md,/energy/Details/Peter_Peapell,Defense Scientist
Energy,Phil Schneider,Energy/Details/Phil_Schneider.md,/energy/Details/Phil_Schneider,Government Contractor
Energy,Philo Farnsworth,Energy/Details/Philo_Farnsworth.md,/energy/Details/Philo_Farnsworth,Physicist / Scientist
Energy,pte physics,Energy/Details/pte_physics.md,/energy/Details/pte_physics,
Energy,Richard Pugh,Energy/Details/Richard_Pugh.md,/energy/Details/Richard_Pugh,Defense Scientist
Energy,Robert Bass,Energy/Details/Robert_Bass.md,/energy/Details/Robert_Bass,Energy Researcher / Physicist / Scientist
Energy,Roger Hill,Energy/Details/Roger_Hill.md,/energy/Details/Roger_Hill,Defense Scientist
Energy,Rory Johnson,Energy/Details/Rory_Johnson.md,/energy/Details/Rory_Johnson,Energy Inventor
Energy,Royal Rife,Energy/Details/Royal_Rife.md,/energy/Details/Royal_Rife,Energy Inventor
Energy,Rudolf Diesel,Energy/Details/Rudolf_Diesel.md,/energy/Details/Rudolf_Diesel,Automotive Inventor
Energy,Russell Smith,Energy/Details/Russell_Smith.md,/energy/Details/Russell_Smith,Defense Scientist
Energy,Shani Warren,Energy/Details/Shani_Warren.md,/energy/Details/Shani_Warren,Defense Industry Worker
Energy,Stan Gleeson,Energy/Details/Stan_Gleeson.md,/energy/Details/Stan_Gleeson,Energy Researcher
Energy,Stanley Meyer,Energy/Details/Stanley_Meyer.md,/energy/Details/Stanley_Meyer,Energy Inventor
Energy,Stefan Marinov,Energy/Details/Stefan_Marinov.md,/energy/Details/Stefan_Marinov,Physicist / Scientist
Energy,Stuart Gooding,Energy/Details/Stuart_Gooding.md,/energy/Details/Stuart_Gooding,Defense Scientist
Energy,Thomas Henry Moray,Energy/Details/Thomas_Henry_Moray.md,/energy/Details/Thomas_Henry_Moray,Energy Inventor
Energy,Thomas Townsend Brown,Energy/Details/Thomas_Townsend_Brown.md,/energy/Details/Thomas_Townsend_Brown,Energy Inventor / Physicist / Scientist
Energy,Tom Ogle,Energy/Details/Tom_Ogle.md,/energy/Details/Tom_Ogle,Automotive Inventor
Energy,Trevor Knight,Energy/Details/Trevor_Knight.md,/energy/Details/Trevor_Knight,Defense Scientist
Energy,Troy Reed,Energy/Details/Troy_Reed.md,/energy/Details/Troy_Reed,Energy Inventor
Energy,Victor Moore,Energy/Details/Victor_Moore.md,/energy/Details/Victor_Moore,Defense Scientist
Energy,Viktor Schauberger,Energy/Details/Viktor_Schauberger.md,/energy/Details/Viktor_Schauberger,Energy Inventor
Energy,Vimal Dajibhai,Energy/Details/Vimal_Dajibhai.md,/energy/Details/Vimal_Dajibhai,Defense Scientist
Energy,Wilbert Smith,Energy/Details/Wilbert_Smith.md,/energy/Details/Wilbert_Smith,Energy Researcher / Physicist
Energy,Wilhelm Reich,Energy/Details/Wilhelm_Reich.md,/energy/Details/Wilhelm_Reich,Energy Inventor / Energy Researcher
Energy,Yull Brown,Energy/Details/Yull_Brown.md,/energy/Details/Yull_Brown,Energy Inventor
Energy,Zachary Warfield,Energy/Details/Zachary_Warfield.md,/energy/Details/Zachary_Warfield,Government Contractor
